n,r,m
"(:Complexity {examples: 2,level: EASY,time_to_learn: < 1 day,description: Simple reconnaissance})",[:HAS_COMPLEXITY],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:HAS_COMPLEXITY],"(:Complexity {examples: 3,level: MEDIUM,time_to_learn: 2-3 days,description: Intermediate scanning})"
"(:Complexity {examples: 3,level: MEDIUM,time_to_learn: 2-3 days,description: Intermediate scanning})",[:HAS_COMPLEXITY],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:HAS_COMPLEXITY],"(:Complexity {examples: 3,level: MEDIUM,time_to_learn: 2-3 days,description: Intermediate scanning})"
"(:Complexity {examples: 3,level: MEDIUM,time_to_learn: 2-3 days,description: Intermediate scanning})",[:HAS_COMPLEXITY],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:HAS_COMPLEXITY],"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})"
"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})",[:HAS_COMPLEXITY],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:HAS_COMPLEXITY],"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})"
"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})",[:HAS_COMPLEXITY],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:HAS_COMPLEXITY],"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})"
"(:Complexity {examples: 3,level: HARD,time_to_learn: > 1 week,description: Advanced techniques})",[:HAS_COMPLEXITY],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
